review_id,claim_id,claim_family_id,review_set,claim_level,claim_type,claim_text,short_claim_text,target,feature_family,feature_space,pipeline,atlas,dataset,cohort,roi,roi_group,anatomical_group,network,network_7_like,lobe,direction,evidence_metric,evidence_value,coefficient,t_value,p_value,q_value,n_samples,n_features,support_regions,support_metrics_short,reviewer_id,reviewer_type,reviewer_specialty,plausibility_1_5,clarity_1_5,faithfulness_1_5,usefulness_1_5,reviewer_confidence_1_5,caution_level,recommended_action,corrected_claim_text,reviewer_comments,revised
REV0023,OASIS1_BASELINE_FS8_CORTICAL_VOLUME_MMSE_5e704a8ccb_atomic_roi_rh_posteriorcingulate,OASIS1_BASELINE_FS8_CORTICAL_VOLUME_MMSE_5e704a8ccb,main_expert,atomic_roi,mmse_association,"Higher MMSE is associated with higher rh_posteriorcingulate cortical regional volume, after adjustment for age, sex, education.","Higher MMSE is associated with higher rh_posteriorcingulate cortical regional volume, after adjustment for age, sex, education.",mmse,volume,fs8_cortical_volume,freesurfer8,cortical_regions,OASIS1_baseline,pooled,rh_posteriorcingulate,cingulate,cingulate,,,cingulate,higher,t,3.513257815323809,0.212357167,3.513257815323809,0.00053281,0.001341892,235,68,,,radiology,human,radiology,5,4,5,5,5,stable,accept,,,
REV0024,ADNI_SPM_MATCHED_FS8_SCHAEFER7_DX_CN_AD_e23c09f7c3_atomic_roi_LH_Default_Temp_4,ADNI_SPM_MATCHED_FS8_SCHAEFER7_DX_CN_AD_e23c09f7c3,main_expert,atomic_roi,diagnosis_contrast,"AD is associated with lower LH_Default_Temp_4 Schaefer 200 7-network cortical thickness compared with CN, after adjustment for age, sex, education.","AD is associated with lower LH_Default_Temp_4 Schaefer 200 7-network cortical thickness compared with CN, after adjustment for age, sex, education.",diagnosis_binary_ad_cn,thickness,fs8_thickness_schaefer200_7,freesurfer8,schaefer200_7network,ADNI_SPM_MATCHED,pooled,LH_Default_Temp_4,Default,temporal,Default,,temporal,lower,t,-12.19534726,-0.606548628,-12.19534726,9.885166730467342e-33,9.508588950259062e-32,1554,202,,,radiology,human,radiology,5,3,5,4,4,stable,accept,,,
REV0025,OASIS1_BASELINE_FS8_CORTICAL_VOLUME_CDR_IMPAIRMENT_9a4bc2fb06_atomic_roi_rh_bankssts,OASIS1_BASELINE_FS8_CORTICAL_VOLUME_CDR_IMPAIRMENT_9a4bc2fb06,main_expert,atomic_roi,cdr_impairment_contrast,"CDR-defined cognitive impairment is associated with lower rh_bankssts cortical regional volume compared with CDR 0, after adjustment for age, sex, education.","CDR-defined cognitive impairment is associated with lower rh_bankssts cortical regional volume compared with CDR 0, after adjustment for age, sex, education.",diagnosis_binary_impairment_cdr,volume,fs8_cortical_volume,freesurfer8,cortical_regions,OASIS1_baseline,pooled,rh_bankssts,temporal,temporal,,,temporal,lower,t,-3.213957267,-0.402046231,-3.213957267,0.001496902,0.00598761,235,68,,,radiology,human,radiology,5,3,5,4,5,stable,accept,,,
REV0026,AIBL_BASELINE_FS8_SUBCORTICAL_VOLUME_DX_CN_AD_c7233d1166_atomic_roi_Left-Hippocampus,AIBL_BASELINE_FS8_SUBCORTICAL_VOLUME_DX_CN_AD_c7233d1166,main_expert,atomic_roi,diagnosis_contrast,"AD is associated with lower Left-Hippocampus subcortical volume compared with CN, after adjustment for age, sex.","AD is associated with lower Left-Hippocampus subcortical volume compared with CN, after adjustment for age, sex.",diagnosis_binary_ad_cn,volume,fs8_subcortical_volume,freesurfer8,subcortical,AIBL_baseline,pooled,Left-Hippocampus,medial_temporal,medial_temporal,,,,lower,t,-19.92916083,-1.376622301,-19.92916083,1.1072150807461608e-75,2.362058838925143e-74,1104,64,,,radiology,human,radiology,5,4,5,5,5,stable,accept,,,
REV0027,AIBL_BASELINE_FS8_CORTICAL_VOLUME_DX_CN_AD_266a22fefe_atomic_roi_lh_superiortemporal,AIBL_BASELINE_FS8_CORTICAL_VOLUME_DX_CN_AD_266a22fefe,main_expert,atomic_roi,diagnosis_contrast,"AD is associated with lower lh_superiortemporal cortical regional volume compared with CN, after adjustment for age, sex.","AD is associated with lower lh_superiortemporal cortical regional volume compared with CN, after adjustment for age, sex.",diagnosis_binary_ad_cn,volume,fs8_cortical_volume,freesurfer8,cortical_regions,AIBL_baseline,pooled,lh_superiortemporal,temporal,temporal,,,temporal,lower,t,-9.425681979,-0.721702947,-9.425681979,2.441748894230204e-20,1.3678667242736174e-19,1104,68,,,radiology,human,radiology,5,4,5,4,5,stable,accept,,,
REV0028,AIBL_BASELINE_FS8_SUBCORTICAL_VOLUME_DX_CN_MCI_2efad00881_atomic_roi_CC_Mid_Posterior,AIBL_BASELINE_FS8_SUBCORTICAL_VOLUME_DX_CN_MCI_2efad00881,main_expert,atomic_roi,diagnosis_contrast,"MCI is associated with lower CC_Mid_Posterior subcortical volume compared with CN, after adjustment for age, sex.","MCI is associated with lower CC_Mid_Posterior subcortical volume compared with CN, after adjustment for age, sex.",diagnosis_binary_mci_cn,volume,fs8_subcortical_volume,freesurfer8,subcortical,AIBL_baseline,pooled,CC_Mid_Posterior,corpus_callosum,corpus_callosum,,,,lower,t,-3.657512141,-0.286381221,-3.657512141,0.000266448,0.001550241,1131,64,,,radiology,human,radiology,4,3,4,4,4,stable,accept,,,
REV0029,OASIS1_BASELINE_FS8_CORTICAL_VOLUME_MMSE_5e704a8ccb_atomic_roi_lh_parahippocampal,OASIS1_BASELINE_FS8_CORTICAL_VOLUME_MMSE_5e704a8ccb,main_expert,atomic_roi,mmse_association,"Higher MMSE is associated with higher lh_parahippocampal cortical regional volume, after adjustment for age, sex, education.","Higher MMSE is associated with higher lh_parahippocampal cortical regional volume, after adjustment for age, sex, education.",mmse,volume,fs8_cortical_volume,freesurfer8,cortical_regions,OASIS1_baseline,pooled,lh_parahippocampal,temporal,temporal,,,temporal,higher,t,3.2653449109291084,0.2092067612164231,3.2653449109291084,0.001260042,0.002989606,235,68,,,radiology,human,radiology,5,3,5,5,5,stable,accept,,,
REV0030,ADNI_BASELINE_FS8_SUBCORTICAL_VOLUME_AGE_fa1c14f686_atomic_roi_CC_Anterior,ADNI_BASELINE_FS8_SUBCORTICAL_VOLUME_AGE_fa1c14f686,main_expert,atomic_roi,age_association,"Older age is associated with lower CC_Anterior subcortical volume, after adjustment for sex, education, icv.","Older age is associated with lower CC_Anterior subcortical volume, after adjustment for sex, education, icv.",age,volume,fs8_subcortical_volume,freesurfer8,subcortical,ADNI_baseline,pooled,CC_Anterior,corpus_callosum,corpus_callosum,,,,lower,t,-6.889059,-0.186158167,-6.889059,8.74351384215985e-12,3.49740553686394e-11,1299,64,,,radiology,human,radiology,5,3,5,4,4,stable,accept,,,
REV0031,ADNI_SPM_MATCHED_SPM_THICKNESS_SCHAEFER200_7_DX_CN_AD_ddab764881_atomic_roi_RH_Limbic_TempPole_3,ADNI_SPM_MATCHED_SPM_THICKNESS_SCHAEFER200_7_DX_CN_AD_ddab764881,main_expert,atomic_roi,diagnosis_contrast,"AD is associated with lower RH_Limbic_TempPole_3 Schaefer 200 7-network cortical thickness compared with CN, after adjustment for age, sex, education.","AD is associated with lower RH_Limbic_TempPole_3 Schaefer 200 7-network cortical thickness compared with CN, after adjustment for age, sex, education.",diagnosis_binary_ad_cn,thickness,spm_thickness_schaefer200_7,spm_cat12,schaefer200_7network,ADNI_SPM_MATCHED,pooled,RH_Limbic_TempPole_3,Limbic,temporal_pole,Limbic,,temporal,lower,t,-28.60599627,-1.192915225,-28.60599627,7.450747825876083e-145,1.5050510608269688e-142,1554,202,,,radiology,human,radiology,5,3,5,4,4,stable,accept,,,
REV0032,ADNI_BASELINE_FASTSURFER_SUBCORTICAL_VOLUME_MMSE_f0bd89a08f_atomic_roi_Right-Inf-Lat-Vent,ADNI_BASELINE_FASTSURFER_SUBCORTICAL_VOLUME_MMSE_f0bd89a08f,main_expert,atomic_roi,mmse_association,"Higher MMSE is associated with lower Right-Inf-Lat-Vent subcortical volume, after adjustment for age, sex, education, icv.","Higher MMSE is associated with lower Right-Inf-Lat-Vent subcortical volume, after adjustment for age, sex, education, icv.",mmse,volume,fastsurfer_subcortical_volume,fastsurfer,subcortical,ADNI_baseline,pooled,Right-Inf-Lat-Vent,ventricle_csf,ventricle_csf,,,,lower,t,-8.50386973,-0.21449165,-8.50386973,5.0984290894513505e-17,1.1981308360210677e-15,1272,64,,,radiology,human,radiology,5,4,5,4,5,stable,accept,,,
REV0033,OASIS1_BASELINE_FS8_SUBCORTICAL_VOLUME_MMSE_543c6804cb_atomic_roi_Right-Lateral-Ventricle,OASIS1_BASELINE_FS8_SUBCORTICAL_VOLUME_MMSE_543c6804cb,main_expert,atomic_roi,mmse_association,"Higher MMSE is associated with lower Right-Lateral-Ventricle subcortical volume, after adjustment for age, sex, education.","Higher MMSE is associated with lower Right-Lateral-Ventricle subcortical volume, after adjustment for age, sex, education.",mmse,volume,fs8_subcortical_volume,freesurfer8,subcortical,OASIS1_baseline,pooled,Right-Lateral-Ventricle,ventricle_csf,ventricle_csf,,,,lower,t,-3.488196325,-0.206203605,-3.488196325,0.000582542,0.001624986,235,64,,,radiology,human,radiology,5,3,5,4,5,stable,accept,,,
